Name,South Latitude,North Latitude,West Longitude,East Longitude,Crops
Arusha,-3.5296827,-3.2096827,36.5280794,36.8480794,"Leeks_Blue Solaise, Peas_Snow Pea (Oregon Sugar Pod)"
Bungoma,0.4212517,1.1448553,34.3615145,35.0678481,Peanuts_Runner
Busia,0.1904010,0.5931476,33.8790180,34.1382271,Peanuts_Runner
Dar es Salaam,-7.1868448,-6.5661971,39.0070295,39.9280466,Papaya_Sunset
Dodoma,-6.2285189,-6.0839764,35.6728673,35.8579725,"Beans_Katumani, Pumpkin_Connecticut Field"
Fort Portal,0.5758831,0.7001926,30.1660748,30.3259626,"Leeks_Blue Solaise, Peas_Snow Pea (Oregon Sugar Pod)"
Gulu,2.7656942,3.3035837,32.1855675,32.6597075,Pumpkin_Connecticut Field
Homa Bay,-0.8682381,-0.2594784,33.9253978,35.0219169,Sugarcane_Kagumo
Iringa,-9.0425613,-6.8886042,34.1941085,36.8456375,Leeks_Blue Solaise
Jinja,0.4490830,0.7011445,33.0425488,33.3788155,"Onions_Tropicana F1, Papaya_Sunset, Peppers_Anaheim, Sugarcane_Kagumo"
Kabale,-1.4823179,-1.1900169,29.8776307,30.1745393,"Leeks_Blue Solaise, Peas_Snow Pea (Oregon Sugar Pod)"
Kajiado,-3.1961469,-1.0467689,36.0007377,37.9379325,"Onions_Tropicana F1, Pumpkin_Connecticut Field"
Kakamega,0.0891080,0.9004387,34.3463187,35.1561038,Sugarcane_Kagumo
Kamuli,0.6572594,1.2271848,32.9283921,33.3062631,Sugarcane_Kagumo
Kinangop,-0.9214000,-0.4199119,36.4425852,36.7363334,Peas_Snow Pea (Oregon Sugar Pod)
Kirinyaga,-0.7874123,-0.1520515,37.1453659,37.4960990,Peppers_Anaheim
Kisumu,-0.1752245,0.0226311,34.5799207,34.8823060,"Papaya_Sunset, Sugarcane_Kagumo"
Kitui,-3.0707527,-0.0554329,37.5955253,39.0761161,Beans_Katumani
Kwale,-4.7995530,-3.5719734,38.4487922,39.7393241,Oranges_Jaffa
Laikipia,-0.2954841,0.8690666,36.2266898,37.3956962,Pumpkin_Connecticut Field
Limuru,-1.2277179,-1.0618054,36.5173197,36.7382040,Leeks_Blue Solaise
Lira,2.0856918,2.4056918,32.7362440,33.0562440,"Beans_Katumani, Peanuts_Runner, Pumpkin_Connecticut Field"
Luwero,0.4579014,0.4979014,33.7855239,33.8255239,Oranges_Jaffa
Machakos,-1.7801643,-0.7770515,36.8789115,37.8674979,"Beans_Katumani, Pumpkin_Connecticut Field"
Makueni,-2.9946237,-1.5176177,37.1427055,38.5205115,"Beans_Katumani, Oranges_Jaffa"
Malindi,-6.1609722,-6.1544761,39.1917774,39.2017441,Papaya_Sunset
Manyara,-5.9534991,-3.4516209,34.8651898,38.0008994,Onions_Tropicana F1
Masindi,1.3258563,2.0576718,31.4780061,32.0905930,Oranges_Jaffa
Mbale,0.8290861,1.1240663,34.0810839,34.3376492,Onions_Tropicana F1
Mbeya,-9.7188671,-6.8672218,32.8944632,34.9688547,Sugarcane_Kagumo
Meru,-0.2154671,0.6686272,37.0907035,38.4208288,"Onions_Tropicana F1, Peppers_Anaheim"
Mombasa,-4.2105200,-3.8905200,39.5071690,39.8271690,Papaya_Sunset
Morogoro,-9.9234593,-5.8022719,35.3240558,38.5166016,"Oranges_Jaffa, Peppers_Anaheim, Sugarcane_Kagumo"
Moshi,-3.5086456,-3.1886456,37.1835249,37.5035249,Peppers_Anaheim
Mukono,-1.0000000,0.8587374,32.5008938,32.9829266,"Papaya_Sunset, Peppers_Anaheim"
Naivasha,-0.7376362,-0.6984752,36.4230637,36.4546944,"Leeks_Blue Solaise, Peppers_Anaheim"
Narok,-2.1054817,-0.4567390,34.5905204,36.3480888,Peas_Snow Pea (Oregon Sugar Pod)
Njombe,-10.5401777,-8.6651091,33.8117379,35.5239699,Peas_Snow Pea (Oregon Sugar Pod)
Nyeri,-0.4452637,-0.4056324,36.9077432,36.9861603,Leeks_Blue Solaise
Shinyanga,-4.3266440,-3.1978478,31.6829723,34.2343412,Peanuts_Runner
Siaya,-0.4312923,0.3110222,33.9491227,34.5599418,Peanuts_Runner
Singida,-7.5368228,-3.8031651,33.4873023,35.3571751,"Beans_Katumani, Onions_Tropicana F1"
Soroti,1.5555857,2.0200738,33.3902791,33.8159062,"Beans_Katumani, Peanuts_Runner"
Tabora,-6.9788315,-3.8790674,31.0387156,34.2423638,"Peanuts_Runner, Pumpkin_Connecticut Field"
Taita Taveta,-4.1417295,-2.6847664,37.5853879,39.2199149,Oranges_Jaffa
Tanga,-24.1635435,-15.3655722,-179.3950218,-173.5295458,Oranges_Jaffa
Taveta,-3.4400000,-3.3600000,37.6433000,37.7233000,Onions_Tropicana F1
Timboroa,0.0229624,0.1029624,35.5067063,35.5867063,Peas_Snow Pea (Oregon Sugar Pod)
Zanzibar,-6.3264908,-6.0064908,39.0474312,39.3674312,Papaya_Sunset
Eldoret,0.3598329,0.6798329,35.1115481,35.4315481,
Kagera,-3.3626662,-0.9854812,30.4058966,32.6187140,
Kangundo,-1.4280428,-1.2510682,37.2735297,37.4266697,
Karamoja,2.9802010,3.0202010,34.0852533,34.1252533,
Kericho,-0.6654793,0.0252895,35.0054984,35.6757255,
Kiambu,-1.3146419,-0.7582275,36.4923148,37.3618540,
Kigezi,-6.9854920,-6.9454920,39.0792709,39.1192709,
Kilimanjaro,-3.3998973,-2.7788120,37.0105792,37.8085221,
Kisii,-0.9741666,-0.5035847,34.6081332,35.0139884,
Masaka,-0.8159859,-0.1510894,31.6571182,32.0606440,
Mbarara,-0.6300535,-0.2056910,30.4380735,30.7785755,
Mityana,0.2148709,0.6971238,31.8020472,32.2674461,
Muranga,-1.0960447,-0.5673347,36.7064872,37.4213309,
Murang�a,-1.0960447,-0.5673347,36.7064872,37.4213309,
Nairobi,-1.4448822,-1.1606749,36.6647016,37.1048735,
Nakasongola,0.9614896,1.6780362,31.9676375,32.7999413,
Nyandarua,-0.9214000,0.1374382,36.2015433,36.7363334,
Thika,-1.0668118,-1.0271142,37.0637524,37.1148765,
Trans-Nzoia,0.8068718,1.2814202,34.5786520,35.3632865,
Wakiso,0.1651738,0.5869736,32.1914956,32.6863185,
