crop_variety,t_mean_Q1,t_mean_Q2,t_mean_Q3,t_mean_Q4,t_max_Q1,t_max_Q2,t_max_Q3,t_max_Q4,t_min_Q1,t_min_Q2,t_min_Q3,t_min_Q4,w_mean_Q1,w_mean_Q2,w_mean_Q3,w_mean_Q4,w_max_Q1,w_max_Q2,w_max_Q3,w_max_Q4,h_mean_Q1,h_mean_Q2,h_mean_Q3,h_mean_Q4,r_sum_Q1,r_sum_Q2,r_sum_Q3,r_sum_Q4
Beans_Rosecoco,19.01036889,18.14661479,18.47125629,18.73204544,23.99858858,22.59797526,23.69321618,24.06865257,14.57976648,14.27653554,13.92340259,13.6056591,6.676839851,6.732189219,7.531680749,7.469897986,11.98617119,11.13763332,13.30778625,13.61657727,74.77075879,74.98860116,71.85641038,67.98509868,0.313756738,0.336512548,0.288063681,0.267987398
Beans_Rosecoco,19.01036889,18.14661479,18.47125629,18.73204544,23.99858858,22.59797526,23.69321618,24.06865257,14.57976648,14.27653554,13.92340259,13.6056591,6.676839851,6.732189219,7.531680749,7.469897986,11.98617119,11.13763332,13.30778625,13.61657727,74.77075879,74.98860116,71.85641038,67.98509868,0.313756738,0.336512548,0.288063681,0.267987398
Beans_Rosecoco,20.01344433,18.73090843,18.27587678,18.76784683,25.73062245,23.63524456,23.12701267,23.95951326,14.83672456,14.6771442,14.18297649,13.81805673,7.418523404,7.315315486,7.099894072,7.141759833,13.57593903,12.301968,12.21890549,12.93398167,65.31017215,72.91334645,75.25499099,70.71123526,0.267440158,0.292004389,0.305035622,0.280657808
Beans_Rosecoco,20.17267806,19.89830147,19.00246931,18.87468254,25.68367699,24.99582495,23.96878329,23.62597673,15.02877764,15.58424505,14.75025125,14.63816585,7.426432823,7.548612608,7.471454178,6.884111465,13.8127129,13.1490042,12.35652989,12.2320281,67.6314434,71.41978149,70.84061792,74.75566458,0.274173519,0.296598306,0.290601786,0.298281289
Beans_Rosecoco,18.99713892,18.12338659,18.32459058,18.47165165,23.92528748,22.71943083,23.6696815,23.86277237,14.57960134,14.22725927,13.95070285,13.55367274,6.662590208,6.630173414,7.431499405,7.388376499,12.02960097,11.08911675,13.2488313,13.59632833,74.6332392,74.96259687,71.68331238,67.89635146,0.292065884,0.547599125,0.235213065,0.345749079
Beans_Rosecoco,18.98168633,18.05924698,18.55853152,18.78953089,24.07779816,22.68294921,23.70589679,24.02810158,14.60153807,14.22922072,13.90375964,13.62471701,6.74482326,6.687055789,7.558071668,7.464112421,12.05392188,11.1832644,13.45397247,13.74921777,74.75500569,74.92092,71.69869807,68.04558806,0.415386176,0.408460546,0.301290782,0.271476104
Beans_Rosecoco,19.01398295,17.98916398,18.49821164,18.81067862,23.9702263,22.6505748,23.76394502,24.04924801,14.56851125,14.32061268,13.90997539,13.6810169,6.876087654,6.793251395,7.554819784,7.44390914,12.08036882,11.17659402,13.40892641,13.54003942,74.73758087,75.0685755,71.75022174,68.06104383,0.086052795,0.480293294,0.446648469,0.229230523
Beans_Rosecoco,18.94526496,18.13035309,18.56935492,18.85485151,23.86023018,22.66291842,23.61198149,23.92329829,14.49458637,14.19616874,14.020685,13.56437142,6.568920763,6.641300221,7.51805085,7.442687079,11.72804012,11.165365,13.26270009,13.62573247,74.84811615,75.02670221,71.88217868,67.99031195,0.482098892,0.306121857,0.266817703,0.325540111
Beans_Rosecoco,19.08037403,18.30381668,18.48970128,18.96387138,23.88057225,22.52711581,23.66078333,24.10786517,14.59280999,14.34937363,13.98288435,13.58958487,6.761133737,6.453429586,7.399733681,7.382788149,11.91964253,11.09943597,13.47092933,13.64827878,74.64433383,75.135072,71.95338459,68.1182709,0.210689414,0.288796388,0.156038626,0.406259574
Beans_Rosecoco,18.94413491,18.1308682,18.5441038,18.7121953,24.01398328,22.54611214,23.65440671,24.04709607,14.53234662,14.27305699,14.00071214,13.63229662,6.717607482,6.944358238,7.420010682,7.450961227,11.98657483,11.0907772,13.36618542,13.54761927,74.76702443,75.11582601,71.82005172,67.8874658,0.314729543,0.229942306,0.363768619,0.216310447
